frame_idx,t_sec,ok,dx_px,dy_px,speed_mps,num_tracks
73,3.044708333333333,1,-0.0043792724609375,6.995941162109375,13.889435614598705,498
74,3.0864166666666666,1,-0.021392822265625,7.008087158203125,13.913611843300744,493
75,3.128125,1,-0.000762939453125,7.02288818359375,13.942932403080155,487
76,3.169833333333333,1,0.00115966796875,7.174072265625,14.243086712485834,485
77,3.2115416666666663,1,-0.007415771484375,7.1678466796875,14.230734138872501,483
78,3.25325,1,0.0,0.0,14.230734138872501,483
79,3.294958333333333,1,-0.0006866455078125,7.233367919921875,14.360809566776974,474
80,3.3366666666666664,1,-0.00152587890625,7.23626708984375,14.366565705511473,473
81,3.3783749999999997,1,-0.02539825439453125,7.506988525390625,14.90412907891243,468
82,3.420083333333333,1,-0.0244598388671875,7.5023193359375,14.894852938562067,462
